file_name,#timeframe,#clause,#total_calls,#ctg,result,time
oski15a14b22s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b23s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b24s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b25s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b26s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b27s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b28s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b29s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b30s.aig,NA,NA,NA,NA,NA,timeout
oski15a14b31s.aig,1,0,5,0,FAILED,0.57
oski15a14b32s.aig,4,26,491,29,HOLDS,2.39
oski15a14b33s.aig,NA,NA,NA,NA,NA,timeout
oski1rub00i.aig,NA,NA,NA,NA,NA,timeout
oski1rub01i.aig,NA,NA,NA,NA,NA,timeout
oski1rub02i.aig,NA,NA,NA,NA,NA,timeout
oski1rub03i.aig,NA,NA,NA,NA,NA,timeout
oski1rub08i.aig,NA,NA,NA,NA,NA,timeout
oski1rub09i.aig,NA,NA,NA,NA,NA,timeout
oski1rub10i.aig,NA,NA,NA,NA,NA,timeout
oski2b1i.aig,NA,NA,NA,NA,NA,timeout
oski2b2i.aig,14,1163,|31,561|,4316,HOLDS,505.03
oski2b3i.aig,NA,NA,NA,NA,NA,timeout
oski2b4i.aig,NA,NA,NA,NA,NA,timeout
oski2b5i.aig,NA,NA,NA,NA,NA,timeout
oski2ub0i.aig,NA,NA,NA,NA,NA,timeout
oski3b0i.aig,NA,NA,NA,NA,NA,timeout
oski3b3i.aig,13,379,|54,662|,1412,FAILED,241.62
pdtfifo1to0.aig,70,50624,|3,647,799|,191592,HOLDS,1113.54
pdtpmsam2901.aig,2,243,|2,479|,0,HOLDS,7.08
pdtpmsblackjack.aig,12,1079,|30,690|,1908,HOLDS,4.12
pdtpmscoherence.aig,20,3945,|163,222|,15261,HOLDS,21.44
pdtpmsns2.aig,26,7118,|318,059|,15276,HOLDS,68.94
pdtpmstwo.aig,2,1,507,0,HOLDS,0.03
pdtpmsudc8.aig,269,54837,|9,560,027|,1997653,HOLDS,1073.12
pdtswvqis10x6p2.aig,NA,NA,NA,NA,NA,timeout
pdtswvsam6x8p1.aig,12,42,|1,340|,145,HOLDS,0.87
